Trademark.Cultivar,Species,Flower type,StartDate,EndDate,Color,Note,Days Blooming,Ideal start date,Ideal end date,Source
Incredibelle,Hydrangea arborescens,Mop,2020-07-03,2020-07-04,,,0,,,
Silver Leaf,Hydrangea arborescens,Lacy,2020-07-03,2020-08-02,,,30,,,
Dharuma,Hydrangea paniculata,Lacy panicle,2020-07-08,2020-08-02,White,,25,,,
Quick Fire,Hydrangea paniculata,Lacy panicle,2020-07-08,2020-10-19,Pink,,103,,,
Fire & Ice,Hydrangea paniculata,Lacy panicle,2020-07-09,2020-08-07,Pink-white,,29,,,
Daimond Rogue,Hydrangea paniculata,Mop-like panicle,2020-07-10,2020-10-15,Pink-white,,97,,,
Mega Pearl,Hydrangea paniculata,Mop-like panicle,2020-07-10,2020-10-19,Pink-white,,101,,,
Seaside Serenade Bar Harbor,Hydrangea arborescens,Mop,2020-07-10,2020-07-30,,,20,,,
Strawberry Shake,Hydrangea paniculata,Mop-like panicle,2020-07-10,2020-08-20,Pink-white,,41,,,
White Diamonds,Hydrangea paniculata,Mop-like panicle,2020-07-10,2020-09-30,White,,82,,,
Little Quick Fire,Hydrangea paniculata,Lacy panicle,2020-07-15,2020-10-19,Pink,,96,,,
Dolly,Hydrangea paniculata,Lacy panicle,2020-07-16,2020-09-23,White,,69,,,
Bella Anna,Hydrangea arborescens,Mop,2020-07-17,2020-07-26,,,9,,,
Bobo,Hydrangea paniculata,Mop-like panicle,2020-07-17,2020-08-21,,,35,,,
Fire Light,Hydrangea paniculata,Mop-like panicle,2020-07-17,2020-10-10,Pink,,85,,,
Haas Halo,Hydrangea arborescens,Lacy,2020-07-17,2020-08-27,,,41,,,
Incrediball,Hydrangea arborescens,Mop,2020-07-17,2020-07-25,,,8,,,
Little Lamb,Hydrangea paniculata,Mop-like panicle,2020-07-17,2020-10-19,White,,94,,,
Pink Pincushion ,Hydrangea arborescens,Lacy,2020-07-17,2020-07-18,,,1,,,
Pinky Winky,Hydrangea paniculata,Lacy panicle,2020-07-17,2020-10-19,Pink-white,,94,,,
Early Evolution ,Hydrangea paniculata,Lacy panicle,2020-07-18,2020-08-01,,,14,,,
Kyushu,Hydrangea paniculata,Lacy panicle,2020-07-18,2020-10-21,White,,95,,,
Puffer Fish,Hydrangea paniculata,Mop-like panicle,2020-07-18,2020-08-13,,,26,,,
Strawberry Sundae,Hydrangea paniculata,Mop-like panicle,2020-07-18,2020-08-29,Pink-white,,42,,,
Annabelle,Hydrangea arborescens,Mop,2020-07-23,2020-07-29,,"All dates changed to the same year; these are the range of dates where we found insects visiting these plants across 2019 , 2020, 2021, 2024",6,,,
Bounty,Hydrangea arborescens,Mop,2020-07-23,2020-07-29,,,6,,,
Hayes Starburst,Hydrangea arborescens,Mop,2020-07-23,2020-07-24,,,1,,,
Riven Lace,Hydrangea arborescens,Lacy,2020-07-23,2020-07-24,,,1,,,
Baby Lace,Hydrangea paniculata,Lacy panicle,2020-07-25,2020-10-19,White,,86,,,
Candy Apple,Hydrangea paniculata,Mop-like panicle,2020-07-25,2020-08-29,,,35,,,
Honey Comb,Hydrangea paniculata,Lacy panicle,2020-07-25,2020-10-19,White,,86,,,
Pink Lady,Hydrangea paniculata,Mop-like panicle,2020-07-25,2020-08-31,Pink-white,,37,,,
Sweet Summer,Hydrangea paniculata,Mop-like panicle,2020-07-25,2020-10-19,White,Arguably 10/19 was an outlier and we should go with 9/19/2020,86,,,
Berry White,Hydrangea arborescens,Mop,2020-07-26,2020-08-01,,,6,,,
Limelight Prime,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-08-09,,,14,,,
Little Lime Punch,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-08-01,,,6,,,
Polar Ball,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-09-23,White,,59,,,
Quick Fire Fabulous,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-08-09,,,14,,,
Ruby,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-10-14,Pink,,80,,,
Silver Dollar,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-08-29,White,,34,,,
Vanilla Strawberry,Hydrangea paniculata,Mop-like panicle,2020-07-26,2020-09-21,Pink-white,,57,,,
Invincibelle Spirit,Hydrangea arborescens,Mop,2020-07-29,2020-08-14,,,16,,,
Pillow Talk,Hydrangea paniculata,Mop-like panicle,2020-07-29,2020-10-14,Pink-white,,77,,,
Ryan Gainey,Hydrangea arborescens,Mop,2020-07-29,2020-07-30,,,1,,,
White Moth,Hydrangea paniculata,Lacy panicle,2020-07-31,2020-08-05,White,,5,,,
Great Star,Hydrangea paniculata,Lacy panicle,2020-08-01,2020-10-21,White,,81,,,
Phantom,Hydrangea paniculata,Mop-like panicle,2020-08-01,2020-09-19,White,,49,,,
Tickled Pink,Hydrangea paniculata,Lacy panicle,2020-08-01,2020-09-02,Pink-white,,32,,,
Zinfin Doll,Hydrangea paniculata,Mop-like panicle,2020-08-01,2020-08-02,,,1,,,
Brussels Lace,Hydrangea paniculata,Lacy panicle,2020-08-02,2020-10-19,White,,78,,,
Pink Diamond,Hydrangea paniculata,Lacy panicle,2020-08-02,2020-10-19,Pink,,78,,,
Green Spire,Hydrangea paniculata,Lacy panicle,2020-08-05,2020-10-19,Green-white,,75,,,
Little Lime,Hydrangea paniculata,Mop-like panicle,2020-08-05,2020-08-06,Green-white,,1,,,
Floribunda,Hydrangea paniculata,Lacy panicle,2020-08-08,2020-10-19,White,,72,,,
Limelight,Hydrangea paniculata,Mop-like panicle,2020-08-08,2020-09-30,Green-white,,53,,,
Late,Hydrangea paniculata,Lacy panicle,2020-08-17,2020-10-21,White,,65,,,
Mega Mindy,Hydrangea paniculata,Lacy panicle,2020-08-19,2020-09-05,Pink,,17,,,
Big Ben,Hydrangea paniculata,Lacy panicle,2020-08-28,2020-10-19,White,,52,,,
Unique,Hydrangea paniculata,Lacy panicle,2020-08-29,2020-08-30,White,,1,,,
