"","species1","days"
"1","",1
"2","Agapostemon",1
"3","Agapostemon_splendens",1
"4","Andrena",3
"5","Andrena_cineraria",1
"6","Andrena_fulva",1
"7","Andrena_milwaukeensis",3
"8","Andrena_prunorum",1
"9","Andrena_ventralis",1
"10","Anthidium",1
"11","Anthidium_florentinum",1
"12","Anthidium_oblongatum",1
"13","Anthophora_abrupta",4
"14","Anthophora_furcata",1
"15","Anthophora_plumipes",1
"16","Apis_dorsata",6
"17","Apis_florea",2
"18","Apis_mellifera",63
"19","Augochlora",15
"20","Augochlorella",9
"21","Augochloropsis",11
"22","Bombus_affinis",16
"23","Bombus_ardens",2
"24","Bombus_bimaculatus",20
"25","Bombus_citrinus",11
"26","Bombus_consobrinus",1
"27","Bombus_crotchii",2
"28","Bombus_diversus",1
"29","Bombus_ephippiatus",1
"30","Bombus_flavidus",2
"31","Bombus_funebris",1
"32","Bombus_griseocollis",12
"33","Bombus_hypocrita",1
"34","Bombus_impatiens",41
"35","Bombus_melanopygus",2
"36","Bombus_mixtus",2
"37","Bombus_occidentalis",1
"38","Bombus_pauloensis",2
"39","Bombus_pensylvanicus",2
"40","Bombus_perplexus",3
"41","Bombus_robustus",1
"42","Bombus_rufocinctus",9
"43","Bombus_vagans_sandersoni",7
"44","Bombus_vosnesenskii",1
"45","Brachymelecta",1
"46","Braunsapis",1
"47","Calliopsis",1
"48","Centris",1
"49","Ceratina",11
"50","Ceylalictus",4
"51","Chelostoma",6
"52","Coleoptera",54
"53","Colletes_hederae",1
"54","Colletes_inaequalis",1
"55","Corynura",4
"56","Diadasia",1
"57","Diptera",55
"58","Epeolus",1
"59","Exoneuridia",1
"60","Florilegus",1
"61","Habropoda",3
"62","Halictus",12
"63","Halictus_ligatus",3
"64","Halictus_rubicundus",9
"65","Halictus_scabiosae",2
"66","Halictus_tripartitus",27
"67","Heriades",1
"68","Hylaeus",20
"69","Hylaeus_leptocephalus",10
"70","Hylaeus_modestus",12
"71","Lasioglossum",26
"72","Leioproctus",1
"73","Lepidoptera",38
"74","Macropis",2
"75","Megachile",1
"76","Megachile_sculpturalis",2
"77","Meliponini",16
"78","Melissodes_bimaculatus",2
"79","Melitturga",1
"80","Nomada",6
"81","Osmia",3
"82","Osmia_bicornis",2
"83","Panurginus",1
"84","Perdita",6
"85","Pseudaugochlora",1
"86","Pseudopanurgus",4
"87","Ptilothrix",4
"88","Ruizantheda",1
"89","Sphecodes",4
"90","Stelis",4
"91","Syrphidae",49
"92","Thygater",1
"93","Wasp",62
"94","Xylocopa",1
"95","Xylocopa_californica",1
"96","Xylocopa_latipes",1
"97","Xylocopa_micans",2
"98","Xylocopa_sonorina",3
"99","Xylocopa_tabaniformis",2
"100","Xylocopa_tenuiscapa",1
"101","Xylocopa_virginica",4
