NumSurveys,CumulativeSpp,CumulativeNumInsects
1,5,5
2,5,11
3,8,33
4,9,33
5,11,33
6,11,64
7,12,80
8,15,105
9,15,123
10,15,133
11,15,144
12,16,146
13,17,156
14,17,158
15,18,178
16,18,220
17,18,221
18,18,223
19,18,224
20,19,231
21,21,238
22,21,243
23,22,248
24,22,254
25,22,260
26,23,263
27,23,263
28,24,270
29,24,278
30,24,291
31,24,291
32,26,296
33,27,296
34,27,304
35,27,305
36,27,307
37,27,312
38,27,312
39,27,312
40,28,312
41,29,314
42,29,320
43,29,322
44,29,324
45,29,325
46,30,335
47,30,335
48,31,349
49,33,357
50,33,365
51,33,365
52,33,369
53,34,371
54,34,373
55,34,377
56,34,380
57,34,386
58,34,392
59,35,404
60,35,405
61,35,411
62,35,417
63,35,421
64,35,437
65,36,447
66,36,450
67,37,454
68,38,456
69,39,464
70,40,467
71,40,468
72,40,468
73,40,468
74,40,469
75,41,469
76,42,472
77,43,477
78,43,483
79,44,485
80,44,488
81,44,495
82,44,499
83,44,505
84,44,508
85,44,515
86,44,516
87,44,517
88,44,520
89,45,537
90,45,538
91,45,543
92,45,545
93,45,546
94,45,558
95,46,564
96,46,567
97,46,567
98,46,567
99,46,567
100,46,567
101,46,567
102,46,575
103,46,579
104,46,588
105,47,591
106,48,599
107,48,613
108,48,615
109,48,623
110,49,630
111,49,634
112,50,644
113,50,646
114,50,648
115,50,651
116,50,651
117,50,652
118,50,653
119,50,654
120,50,656
121,50,663
122,50,671
123,50,671
124,50,673
125,50,676
126,50,676
127,50,695
128,50,701
129,50,705
130,50,715
131,51,720
132,51,735
133,51,748
134,51,768
135,51,775
136,52,780
137,52,782
138,52,785
139,52,795
140,52,797
141,52,807
142,53,809
143,53,831
144,54,847
145,54,864
146,54,867
147,54,875
148,54,879
149,54,879
150,54,879
151,54,879
152,54,879
153,54,880
154,54,893
155,54,910
156,55,912
157,55,920
158,55,930
159,55,932
160,55,933
161,55,933
162,55,935
163,55,938
164,55,938
165,55,941
166,55,948
167,55,951
168,55,966
169,55,966
170,55,983
171,56,992
172,56,1012
173,56,1020
174,56,1020
175,56,1028
176,56,1041
177,56,1051
178,56,1062
179,56,1064
180,57,1070
181,57,1080
182,57,1083
183,58,1090
184,58,1093
185,58,1097
186,58,1106
187,58,1113
188,58,1137
189,58,1138
190,59,1141
191,59,1150
192,59,1150
193,59,1153
194,60,1154
195,60,1163
196,60,1164
197,60,1166
198,60,1174
199,60,1181
200,60,1184
201,60,1194
202,60,1200
203,60,1204
204,60,1206
205,60,1207
206,60,1209
207,60,1217
208,60,1222
209,60,1224
210,60,1231
211,60,1233
212,60,1244
213,60,1251
214,60,1273
215,60,1287
216,60,1297
217,60,1317
218,60,1329
219,61,1338
220,61,1346
221,61,1357
222,61,1359
223,61,1376
224,61,1389
225,61,1392
226,61,1392
227,61,1392
228,61,1392
229,61,1406
230,61,1406
231,61,1406
232,61,1406
233,61,1414
234,61,1414
235,61,1415
236,61,1415
237,61,1415
238,61,1415
239,61,1421
240,61,1423
241,61,1439
242,61,1449
243,61,1452
244,61,1460
245,61,1471
246,61,1488
247,61,1493
248,61,1501
249,61,1505
250,61,1525
251,61,1530
252,61,1533
253,61,1538
254,61,1544
255,61,1554
256,61,1585
257,61,1597
258,61,1610
259,61,1617
260,61,1617
261,61,1645
262,61,1646
263,61,1656
264,61,1662
265,61,1666
266,61,1669
267,61,1673
268,61,1679
269,61,1683
270,61,1686
271,61,1686
272,61,1689
273,61,1696
274,61,1711
275,61,1714
276,61,1721
277,61,1726
278,61,1731
279,61,1737
280,61,1740
281,61,1744
282,61,1744
283,61,1763
284,61,1763
285,61,1764
